YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,REGION,STATEFIP,STRATA,GQ,PERNUM,PERWT,FAMUNIT,MOMLOC,POPLOC,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,BPL,BPLD,MBPL,MBPLD,FBPL,FBPLD,SCHOOL,SCHLMNTH,LIT,OCC,OCCSCORE,StateName,BirthplaceName,OccupationTitle
1900,190002,143301,100.0,1900001433011,32,1,1810106500,1,2,100.0,1,0,0,2,201,2,25,1,2,200,1,100,51,5100,51,5100,1,99.0,1,1,9,Alabama,Alabama,Farm laborers
1900,190002,4124401,101.0,1900041244011,22,20,49922017300,1,2,101.0,1,0,0,2,201,2,29,1,2,200,28,2800,21,2100,21,2100,1,99.0,4,999,0,,Mississippi,Not in labor force / missing
1900,190002,117701,100.0,1900001177011,32,1,1510105101,1,1,100.0,1,0,0,1,101,1,46,1,2,200,1,100,45,4500,45,4500,1,99.0,1,39,20,Alabama,Alabama,Porters and janitors
1900,190002,11920801,100.0,1900119208011,12,42,145724210100,2,7,100.0,6,0,0,12,1203,1,38,6,2,200,51,5100,51,5100,51,5100,1,99.0,1,89,25,Pennsylvania,Virginia,
1900,190002,183301,100.0,1900001833011,32,1,2210107303,2,6,100.0,3,0,0,12,1203,1,26,6,2,200,1,100,1,100,1,100,1,99.0,1,39,20,Alabama,Alabama,Porters and janitors
1900,190002,4871201,100.0,1900048712011,33,22,58622212501,1,1,100.0,1,0,0,1,101,1,22,5,2,200,22,2200,22,2200,22,2200,1,99.0,4,1,9,Louisiana,Louisiana,Farm laborers
1900,190002,4699401,101.0,1900046994011,33,22,56722205700,1,1,101.0,1,0,0,1,101,1,25,1,2,200,22,2200,22,2200,22,2200,1,99.0,1,1,9,Louisiana,Louisiana,Farm laborers
1900,190002,102001,100.0,1900001020011,32,1,1320104702,1,7,100.0,1,2,1,3,301,1,2,6,2,200,1,100,1,100,1,100,1,99.0,0,999,0,Alabama,Alabama,Not in labor force / missing
1900,190002,13863301,100.0,1900138633011,31,51,170225102900,1,3,100.0,1,2,1,3,301,1,29,6,2,200,51,5100,51,5100,51,5100,1,99.0,4,75,20,Virginia,Virginia,Nurse / midwife
1900,190002,6670201,101.0,1900066702011,32,28,80712803300,1,1,101.0,1,0,0,1,101,1,55,2,2,200,28,2800,45,4500,45,4500,1,99.0,1,5,14,Mississippi,Mississippi,Laborers (not farm)
1900,190002,487401,100.0,1900004874011,33,5,6020505702,1,5,100.0,1,2,1,3,301,1,5,6,2,200,5,500,5,500,5,500,1,99.0,0,999,0,Arkansas,Arkansas,Not in labor force / missing
1900,190002,4646901,101.0,1900046469011,33,22,56122202501,1,3,101.0,1,2,1,3,301,2,1,6,2,200,22,2200,22,2200,22,2200,1,99.0,0,999,0,Louisiana,Louisiana,Not in labor force / missing
1900,190002,451701,101.0,1900004517011,33,5,5620503500,1,3,101.0,1,2,1,3,301,1,8,6,2,200,5,500,5,500,1,100,2,9.0,0,999,0,Arkansas,Arkansas,Not in labor force / missing
1900,190002,1889401,100.0,1900018894011,31,13,22621329701,1,8,100.0,1,2,1,3,301,1,22,6,2,200,13,1300,1,100,13,1300,1,99.0,4,1,9,Illinois,Illinois,Farm laborers
